ID;Average User Rating;User Rating Count;Price;In-app Purchases;Developer;Age Rating;Languages;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
372344620;;;0;1.99;Axel Friedrich;4+;EN;257070080; Strategy; Puzzle; Entertainment;24/10/2017;13/04/2019
373751016;;;0;2.99;Qeevee GmbH;4+;NL, EN, FR, DE, EL, IT, JA, PT, RU, ES, SV, TH, TR;25155584; Strategy; Entertainment; Action;18/04/2017;18/04/2017
374976525;;;0;;GameWeaver;4+;EN, JA, ZH, ZH;502263808; Strategy; Puzzle; Entertainment;09/12/2016;13/12/2016
407003328;3;5;0;2.99;Pedro Navarro;4+;CA, EN, FR, DE, ES;54369280; Education; Puzzle; Strategy;12/01/2017;01/04/2019
422274101;;;0.99;;Micha Parpura;4+;EN;402186240; Action; Strategy;;12/09/2016;23/03/2017
495529560;;;0;2.99;Homebrew Software;9+;EN;117752832; Puzzle; Strategy;;08/02/2018;08/02/2018
508654878;;;0.99;;chung kin ko;4+;EN;2888704; Role Playing; Strategy;;07/10/2016;07/10/2016
530090434;4;230;4.99;1.99, 1.99, 1.99, 1.99;Repos Production;4+;NL, EN, FR, DE, IT, PL, ES;521525248; Strategy; Entertainment; Card;13/11/2017;20/05/2019
538343907;;;0;1.99;InstantChess Ltd;4+;EN;119953408; Strategy; Board; Lifestyle;29/12/2018;14/02/2019
541366198;;;2.99;;redplanetsoft.com;12+;EN, RU;194847744; Board; Strategy;;18/04/2016;29/08/2016
543763319;;;0;4.99, 0.99, 14.99, 27.99, 1.99;JOYCOM PTE. LTD.;4+;EN;33905664; Role Playing; Strategy;;12/10/2016;29/12/2016
561590863;;;0;;Makeover Mania Story Games;4+;AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, VI;10841088; Strategy; Simulation;;09/04/2016;09/04/2016
568758251;;;0;0.99, 1.99, 0.99, 0.99, 0.99;Pixcook;4+;EN, FR;41425920; Board; Strategy; Travel;04/03/2016;22/07/2018
577764411;;;0.99;;"""Shane O'Reilly""";4+;EN;183092224; Strategy; Family; Entertainment;12/04/2016;21/10/2017
584927317;4.5;1292;4.99;;Risky Lab Inc;9+;EN;185147392; Strategy; Adventure;;13/04/2016;19/04/2017
594730590;;;0;1.99;Brandon Stecklein;9+;EN;42304512; Strategy; Casual;;14/01/2016;29/07/2018
602032189;4.5;112;0;0.99, 4.99, 0.99, 0.99, 1.99, 3.99, 0.99, 0.99, 2.99, 2.99;Tuna Bowl Software LLC;4+;EN;99334144; Adventure; Entertainment; Strategy;08/02/2016;22/10/2018
615042379;;;3.99;;Ying Ying Apps, LLC;4+;EN;186683392; Strategy;;;23/11/2016;23/11/2016
620455910;4;29;0;;YOMEN, Inc.;17+;EN;135990272; Strategy; Simulation;;06/04/2018;06/04/2018
624499225;;;0;9.99, 6.99, 19.99, 0.99, 39.99;Pigars Entertainment Company Limited;4+;EN, JA, ZH, ZH;76526592; Simulation; Strategy;;07/01/2016;12/03/2019
624499225;;;0;9.99, 6.99, 19.99, 0.99, 39.99;Pigars Entertainment Company Limited;4+;EN, JA, ZH, ZH;76526592; Simulation; Strategy;;07/01/2016;12/03/2019
642455094;4.5;47;0;4.99, 4.99, 4.99, 9.99, 9.99, 24.99, 4.99, 14.99, 19.99, 9.99;Game Gardeners;9+;EN;170715136; Action; Entertainment; Strategy;24/05/2016;04/01/2017
657395017;5;308;6.99;;Button Mash Games Inc.;9+;EN;195714048; Board; Strategy;;11/02/2016;21/11/2017
685239125;;;0;0.99, 1.99, 2.99, 1.99, 0.99, 0.99, 0.99, 3.99, 1.99, 1.99;Incket Interactive Pty Ltd;4+;AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI;80292864; Strategy; Puzzle; Entertainment;05/12/2016;05/12/2016
690260486;4.5;11;0;;Nonpareil Institute;4+;EN;530573312; Education; Strategy; Puzzle;24/08/2017;18/09/2017
695198278;4.5;276;0;9.99, 4.99, 19.99, 2.99, 2.99, 49.99, 99.99;Cleverson Schmidt;4+;EN;85621760; Entertainment; Strategy; Action;18/05/2016;26/03/2019
695948278;4.5;13452;0;7.99, 39.99, 79.99, 19.99, 4.99, 9.99, 99.99, 49.99, 0.99, 7.99, 79.99, 39.99, 19.99;KIXEYE;12+;AR, MY, KM, ZH, DA, NL, EN, ET, FI, FR, DE, HE, HI, ID, IT, JA, KO, LO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI;217124864; Strategy; Action;;21/12/2016;18/07/2019
712625826;3;9;0;2.99, 0.99, 1.99;Hunter Long;9+;EN;290205696; Casual; Strategy; Entertainment;16/11/2016;08/08/2017
719466448;5;8;0;1.99, 0.99, 0.99, 0.99;OnOff Gaming LLC;9+;EN;154114048; Strategy; Role Playing; Entertainment;15/02/2017;15/02/2017
720187787;4.5;93;0;9.99, 4.99, 2.99, 4.99, 9.99, 19.99, 19.99, 49.99, 49.99, 99.99;Plarium Global Ltd;12+;EN;628196352; Action; Strategy;;11/01/2017;10/02/2017
749488884;4.5;201;4.99;;Flightless;9+;ZH, NL, EN, FR, DE, ID, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR;145458176; Action; Strategy;;18/10/2018;10/12/2018
764913765;;;0;;John Angemi;4+;EN;33672192; Strategy; Entertainment; Casual;04/02/2017;06/02/2017
775766819;;;0;;Ting Wang;4+;EN, ZH, ES, ZH;21012480; Strategy; Board; Lifestyle;20/06/2016;20/06/2016
775784357;;;0;;Ting Wang;4+;EN, ZH, ZH;11235328; Card; Lifestyle; Strategy;20/06/2016;20/06/2016
778604970;;;0;;Ting Wang;4+;EN;8830976; Puzzle; Strategy; Lifestyle;20/06/2016;20/06/2016
782925823;;;0;;Makeover Mania Story Games;4+;AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, VI;11099136; Strategy; Simulation;;09/04/2016;09/04/2016
786329111;;;0.99;0;Tetsuyoshi Morikawa;9+;EN, JA;115228672; Strategy; Board;;30/06/2016;06/07/2016
787898884;;;0;;SUD Inc.;4+;ZH, EN, JA, KO, ZH;18947072; Strategy; Board; Entertainment;05/01/2018;29/03/2018
789870075;5;173;0;19.99, 4.99, 9.99, 99.99, 24.99, 49.99, 9.99, 9.99, 4.99, 49.99;KANO/APPS;9+;EN;45649920; Strategy; Role Playing; Social Networking;17/05/2016;26/07/2019
821396522;;;0;;Linda Mottley;4+;EN;44122112; Social Networking; Strategy; Card;14/05/2016;14/05/2016
824498578;;;0;;Steven Grutman;4+;EN;1490944; Casual; Strategy;;19/01/2016;19/01/2016
825276142;4;84;0;99.99, 4.99, 0.99, 19.99, 14.99, 9.99, 49.99, 4.99;Shengwei Network Technology Co., Ltd.;9+;EN, ZH, ZH;642767872; Entertainment; Role Playing; Strategy;17/03/2017;11/07/2019
828410902;4;208;0;9.99, 19.99, 4.99, 0.99, 9.99, 0.99, 19.99, 49.99, 0.99, 99.99;AMT Games Publishing Ltd.;12+;DA, NL, EN, FI, FR, DE, EL, ID, IT, JA, KO, MS, NB, PT, RU, ZH, ES, SV, TH, ZH, TR, VI;126545920; Strategy; Entertainment; Action;28/11/2016;18/07/2019
