URL;ID;Name;Subtitle;Icon_URL;Average_User_Rating;User_Rating_Count;Price;Developer;Age_Rating;Languages;Size;Primary_Genre;Genres;Original_Release_Date;Current_Version_Release_Date
https//apps.apple.com/us/app/slice-the-ice-physics-game/id372344620;372344620;Slice the Ice - Physics Game;Scrappys best Physics Game!;https//is1-ssl.mzstatic.com/image/thumb/Purple123/v4/2e/ca/d2/2ecad291-a6bc-8cae-a3c5-0c7b225da7dd/source/512x512bb.jpg;;;0;Axel Friedrich;4+;EN;257070080;Games;Games, Strategy, Puzzle, Entertainment;24/10/2017;13/04/2019
https//apps.apple.com/us/app/agent-x-free/id373751016;373751016;Agent-X free;;https//is2-ssl.mzstatic.com/image/thumb/Purple111/v4/ab/2b/ca/ab2bca9b-faf7-6cff-0d1f-2f943209f87c/source/512x512bb.jpg;;;0;Qeevee GmbH;4+;NL, EN, FR, DE, EL, IT, JA, PT, RU, ES, SV, TH, TR;25155584;Games;Games, Strategy, Entertainment, Action;18/04/2017;18/04/2017
https//apps.apple.com/us/app/trainwreck/id374976525;374976525;Trainwreck;;https//is2-ssl.mzstatic.com/image/thumb/Purple111/v4/f3/0d/4f/f30d4faa-0557-e928-cbaf-d870aff7ef98/source/512x512bb.jpg;;;0;GameWeaver;4+;EN, JA, ZH, ZH;502263808;Games;Games, Strategy, Puzzle, Entertainment;09/12/2016;13/12/2016
https//apps.apple.com/us/app/i-q-test/id407003328;407003328;I.Q. - Test;Calculate your IQ;https//is3-ssl.mzstatic.com/image/thumb/Purple123/v4/cb/8d/57/cb8d57a5-530a-d53b-3877-de963a32d0fa/source/512x512bb.jpg;3;5;0;Pedro Navarro;4+;CA, EN, FR, DE, ES;54369280;Games;Games, Education, Puzzle, Strategy;12/01/2017;01/04/2019
https//apps.apple.com/us/app/space-cargo/id422274101;422274101;Space Cargo;;https//is4-ssl.mzstatic.com/image/thumb/Purple111/v4/cb/b9/e6/cbb9e663-4ac1-4091-21ae-273d65099eac/source/512x512bb.jpg;;;0.99;Michau0142 Parpura;4+;EN;402186240;Games;Games, Action, Strategy;12/09/2016;23/03/2017
https//apps.apple.com/us/app/arrow-antics-by-homebrew/id495529560;495529560;Arrow Antics by Homebrew;;https//is4-ssl.mzstatic.com/image/thumb/Purple118/v4/85/0f/df/850fdfbc-ce32-fb07-b602-8b4f98ec51dd/source/512x512bb.jpg;;;0;Homebrew Software;9+;EN;117752832;Games;Games, Puzzle, Strategy;08/02/2018;08/02/2018
https//apps.apple.com/us/app/witty/id508654878;508654878;Witty;;https//is1-ssl.mzstatic.com/image/thumb/Purple71/v4/21/2f/7c/212f7c81-8382-5369-7760-b1a34ff36a3b/source/512x512bb.jpg;;;0.99;chung kin ko;4+;EN;2888704;Games;Games, Role Playing, Strategy;07/10/2016;07/10/2016
https//apps.apple.com/us/app/7-wonders/id530090434;530090434;7 Wonders;Card Game with No Downtime;https//is3-ssl.mzstatic.com/image/thumb/Purple123/v4/45/e6/94/45e69421-a482-a348-81b1-997a1740a47f/source/512x512bb.jpg;4;230;4.99;Repos Production;4+;NL, EN, FR, DE, IT, PL, ES;521525248;Games;Games, Strategy, Entertainment, Card;13/11/2017;20/05/2019
https//apps.apple.com/us/app/bullet-chess/id538343907;538343907;Bullet Chess;;https//is4-ssl.mzstatic.com/image/thumb/Purple124/v4/5a/88/48/5a88488e-90bd-0e90-63ee-ffe0b05896e7/source/512x512bb.jpg;;;0;InstantChess Ltd;4+;EN;119953408;Games;Games, Strategy, Board, Lifestyle;29/12/2018;14/02/2019
https//apps.apple.com/us/app/jackal-the-board-game/id541366198;541366198;Jackal - The Board game;;https//is1-ssl.mzstatic.com/image/thumb/Purple62/v4/d2/21/67/d221672d-9096-cc79-b6f0-ecc5432add67/source/512x512bb.jpg;;;2.99;redplanetsoft.com;12+;EN, RU;194847744;Games;Games, Board, Strategy;18/04/2016;29/08/2016
https//apps.apple.com/us/app/7E7A8AEE6ADA6E599A8E381AEE6B19FE6B996E4BA89E99CB8E4BC9D/id543763319;543763319;7u7a2eu6b66u5668u306eu6c5fu6e56u4e89u9738u4f1d;;https//is5-ssl.mzstatic.com/image/thumb/Purple122/v4/47/82/e5/4782e563-a487-9d36-bf5f-1f5b69a43991/source/512x512bb.jpg;;;0;JOYCOM PTE. LTD.;4+;EN;33905664;Games;Games, Role Playing, Strategy;12/10/2016;29/12/2016
https//apps.apple.com/us/app/blue-fishy-in-the-deep-sea/id561590863;561590863;Blue Fishy in the Deep Sea;;https//is5-ssl.mzstatic.com/image/thumb/Purple69/v4/0a/1f/84/0a1f84e3-9f71-b7fa-0032-834d885d5fd4/source/512x512bb.jpg;;;0;Makeover Mania Story Games;4+;AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, VI;10841088;Games;Games, Strategy, Simulation;09/04/2016;09/04/2016
https//apps.apple.com/us/app/battleparis/id568758251;568758251;BattleParis;;https//is2-ssl.mzstatic.com/image/thumb/Purple128/v4/b9/d3/f9/b9d3f94c-09fe-5c94-f01a-403a3ecd3c7c/source/512x512bb.jpg;;;0;Pixcook;4+;EN, FR;41425920;Games;Games, Board, Strategy, Travel;04/03/2016;22/07/2018
https//apps.apple.com/us/app/hedgehogers/id577764411;577764411;HedgeHogers;We Love Hedge.;https//is2-ssl.mzstatic.com/image/thumb/Purple128/v4/4c/e8/12/4ce81219-6a2c-2a3e-1775-4e6e25c09828/source/512x512bb.jpg;;;0.99;Shane OReilly;4+;EN;183092224;Games;Games, Strategy, Family, Entertainment;12/04/2016;21/10/2017
https//apps.apple.com/us/app/warbits/id584927317;584927317;Warbits;;https//is2-ssl.mzstatic.com/image/thumb/Purple122/v4/6b/29/31/6b293141-aabf-45dc-1299-bb1379615a25/source/512x512bb.jpg;4.5;1292;4.99;Risky Lab Inc;9+;EN;185147392;Games;Games, Strategy, Adventure;13/04/2016;19/04/2017
https//apps.apple.com/us/app/asteroid-impact/id594730590;594730590;Asteroid Impact;;https//is1-ssl.mzstatic.com/image/thumb/Purple118/v4/32/be/15/32be15cd-e271-2caf-1839-a59d78c86059/source/512x512bb.jpg;;;0;Brandon Stecklein;9+;EN;42304512;Games;Games, Strategy, Casual;14/01/2016;29/07/2018
https//apps.apple.com/us/app/mars-miner-2/id602032189;602032189;Mars Miner 2;;https//is3-ssl.mzstatic.com/image/thumb/Purple128/v4/ad/28/90/ad2890f9-bbaa-ae60-d6ce-68450500b831/source/512x512bb.jpg;4.5;112;0;Tuna Bowl Software LLC;4+;EN;99334144;Games;Games, Adventure, Entertainment, Strategy;08/02/2016;22/10/2018
https//apps.apple.com/us/app/task-force-war/id615042379;615042379;Task Force War;;https//is3-ssl.mzstatic.com/image/thumb/Purple71/v4/25/22/a8/2522a838-4b9c-7e5b-7664-a143bbebfbe1/source/512x512bb.jpg;;;3.99;Ying Ying Apps, LLC;4+;EN;186683392;Games;Games, Strategy;23/11/2016;23/11/2016
https//apps.apple.com/us/app/western-game/id620455910;620455910;WESTERN GAME;;https//is5-ssl.mzstatic.com/image/thumb/Purple118/v4/fc/89/31/fc89317f-499d-cccd-ebbd-305f8eef8465/source/512x512bb.jpg;4;29;0;YOMEN, Inc.;17+;EN;135990272;Games;Games, Strategy, Simulation;06/04/2018;06/04/2018
https//apps.apple.com/us/app/tv-magnate/id624499225;624499225;TV Magnate;;https//is5-ssl.mzstatic.com/image/thumb/Purple114/v4/0d/ec/c5/0decc531-68fb-526d-4788-3798c2025203/source/512x512bb.jpg;;;0;Pigars Entertainment Company Limited;4+;EN, JA, ZH, ZH;76526592;Games;Games, Simulation, Strategy;07/01/2016;12/03/2019
https//apps.apple.com/us/app/tv-magnate/id624499225;624499225;TV Magnate;;https//is5-ssl.mzstatic.com/image/thumb/Purple114/v4/0d/ec/c5/0decc531-68fb-526d-4788-3798c2025203/source/512x512bb.jpg;;;0;Pigars Entertainment Company Limited;4+;EN, JA, ZH, ZH;76526592;Games;Games, Simulation, Strategy;07/01/2016;12/03/2019
https//apps.apple.com/us/app/mega-tank/id642455094;642455094;Mega Tank;;https//is1-ssl.mzstatic.com/image/thumb/Purple111/v4/37/66/6f/37666f36-b983-f940-8fc4-896db15f503d/source/512x512bb.jpg;4.5;47;0;Game Gardeners;9+;EN;170715136;Games;Games, Action, Entertainment, Strategy;24/05/2016;04/01/2017
