ID,Name,Subtitle,Average User Rating,User Rating Count,Price,Age Rating,Languages,Size,Primary Genre,genero_1,genero_2,genero_3,genero_4,Current Version Release Date
1185371208, Chess ,,4.5,262,0,4+,EN,50229248,Games, Entertainment, Strategy, Board,,9/10/2017
1201497179, Turning ,,4.5,13,0,4+,EN,131837952,Games, Puzzle, Strategy,,,11/12/2017
1081824155,1 Block Launcher Squares,,4.5,74,0,4+,EN,28529664,Games, Entertainment, Strategy, Family,,26/09/2016
1322926848,1 Pic 1 Word  Guess Words,,,,0,4+,EN,50487296,Games, Puzzle, Productivity, Strategy,,13/12/2017
1251450814,10 Blobs,Beat all 10 levels,,,0,4+,EN,19323904,Games, Strategy, Puzzle, Entertainment,,21/07/2017
1190449413,10 Circles,,,,0.99,4+,EN,19716096,Games, Casual, Strategy, Education,,4/01/2017
1300439426,10 Dotz  Logic Dot Puzzle,Simple- Relaxing- Addicting,,,0,4+,EN,24981504,Games, Strategy, Puzzle, Entertainment,,1/06/2018
1088741200,10 games for BTOB,,,,0,4+,EN,54676480,Games, Music, Strategy, Entertainment,,4/03/2016
1097094153,10 Solitaire,,,,0,4+,"EN, JA",32389120,Games, Strategy, Entertainment, Card,,26/04/2017
1100060124,100 Pink Pong Balls,,,,0,4+,EN,12825600,Games, Entertainment, Strategy, Puzzle,,13/04/2016
1237587855,100 Pukky  Balloon popper,,,,0,4+,EN,18803712,Games, Entertainment, Casual, Strategy,,6/07/2019
1203066450,100 Puzzle Word  Dot brain games collection,,,,0,4+,EN,75284480,Games, Strategy, Puzzle,,,11/03/2017
1141825881,100M Dash Race,,,,0,4+,EN,10419200,Games, Strategy, Sports,,,12/12/2016
1141825889,100m Hurdle Race,,,,0,4+,EN,11795456,Games, Sports, Strategy,,,12/12/2016
1435652380,100NHAS,,,,0,17+,EN,11108352,Games, Strategy, Puzzle,,,19/02/2019
1141937538,1010 Block King Puzzle,,5,9,0,4+,"AR, HY, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, FA, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI",30238720,Games, Puzzle, Entertainment, Strategy,,2/06/2018
1116449707,1010 Block Puzzle  Fill The Grid,,,,0,4+,EN,15353856,Games, Entertainment, Strategy, Puzzle,,28/02/2017
1125910442,1010 Fit for  Blocks bricks,Fit the blocks into the board,3.5,15,0,4+,"AR, CA, HR, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI",15704064,Games, Family, Strategy,,,17/09/2018
1249486237,1010 Six Block,Relax with your six block,,,0,4+,EN,22622208,Games, Board, Strategy, Entertainment,,18/06/2017
1077653200,10101 Pro,,,,0,4+,EN,14888960,Games, Entertainment, Puzzle, Strategy,,9/04/2016
1074910046,1010Hero,,,,0,9+,ZH,21769216,Games, Puzzle, Strategy, Entertainment,,22/01/2016
1238995008,1024 Blast,,,,0,4+,EN,218461184,Games, Board, Entertainment, Strategy,,4/07/2017
1341719804,112 Number Puzzle Swiper,Swipe- match & connect,,,0,4+,EN,25232384,Games, Strategy, Entertainment, Puzzle,,20/03/2018
1077319833,119,,,,0,4+,EN,47890432,Games, Trivia, Utilities, Strategy,,18/02/2016
1078440855,12 Labours of Hercules II The Cretan Bull  A Strategy Hero Quest Game,,4,41,1.99,4+,"ZH, CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES",221640704,Games, Strategy, Entertainment, Family,,15/03/2016
1252001111,12 Labours of Hercules II The Cretan Bull (Lite),,4.5,52,0,4+,"ZH, CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES",220924928,Games, Entertainment, Strategy, Family,,9/08/2017
1239362184,12 Labours Of Hercules III Girl Power,,4.5,126,0,4+,"CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES, TR",209461248,Games, Family, Entertainment, Strategy,,30/06/2017
1240749068,12 Labours of Hercules IV (Platinum Edition),,4.5,112,0,4+,"CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES, TR",346206208,Games, Strategy, Entertainment, Family,,9/08/2017
1162763724,12 Labours of Hercules VI  Race for Olympus,,4.5,143,0,4+,"CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES, TR",348389376,Games, Strategy, Adventure,,,22/12/2016
1183867665,12 Levels of Christmas,,,,0.99,4+,EN,12409856,Games, Strategy, Casual,,,10/12/2016
1329162354,13 Balls,,,,1.99,4+,EN,22196224,Games, Casual, Strategy, Entertainment,,13/01/2018
