ID,Name,Log_Name,Subtitle,Long_Subtitle,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Languages,Cant_Language,sn_english,Size,MB_Size,Primary_Genre,genero_1,genero_2,genero_3,Current_Version_Release_Date,,Meses_Publicada
321756558,Pixel Starships,2,Online 8Bit Star Ship Trek,5,4.5,27739,0,9,AR- CS- NL- EN- FR- DE- ID- IT- JA- KO- PL- PT- RU- ZH- ES- SV- TH- ZH- TR- VI,20,1,104436736,104,Games, Entertainment, Strategy, Role Playing,22/07/2019,30/11/2019,4
372344620,Slice the Ice  Physics Game,5,Scrappys best Physics Game,4,0,0,0,4,EN,1,1,257070080,257,Games, Strategy, Puzzle, Entertainment,13/04/2019,30/11/2019,8
373751016,AgentX free,2,,0,0,0,0,4,NL- EN- FR- DE- EL- IT- JA- PT- RU- ES- SV- TH- TR,13,1,25155584,25,Games, Strategy, Entertainment, Action,18/04/2017,30/11/2019,32
374976525,Trainwreck,1,,0,0,0,0,4,EN- JA- ZH- ZH,4,1,502263808,502,Games, Strategy, Puzzle, Entertainment,13/12/2016,30/11/2019,36
407003328,IQ  Test,2,Calculate your IQ,3,3,5,0,4,CA- EN- FR- DE- ES,5,1,54369280,54,Games, Education, Puzzle, Strategy,01/04/2019,30/11/2019,8
422274101,Space Cargo,2,,0,0,0,0.99,4,EN,1,1,402186240,402,Games, Action, Strategy,NA,23/03/2017,30/11/2019,33
495529560,Arrow Antics by Homebrew,4,,0,0,0,0,9,EN,1,1,117752832,118,Games, Puzzle, Strategy,NA,08/02/2018,30/11/2019,22
508654878,Witty,1,,0,0,0,0.99,4,EN,1,1,2888704,3,Games, Role Playing, Strategy,NA,07/10/2016,30/11/2019,38
530090434,7 Wonders,2,Card Game with No Downtime,5,4,230,4.99,4,NL- EN- FR- DE- IT- PL- ES,7,1,521525248,522,Games, Strategy, Entertainment, Card,20/05/2019,30/11/2019,6
538343907,Bullet Chess,2,,0,0,0,0,4,EN,1,1,119953408,120,Games, Strategy, Board, Lifestyle,14/02/2019,30/11/2019,10
541366198,Jackal  The Board game,4,,0,0,0,2.99,12,EN- RU,2,1,194847744,195,Games, Board, Strategy,NA,29/08/2016,30/11/2019,40
561590863,Blue Fishy in the Deep Sea,6,,0,0,0,0,4,AR- CA- CS- DA- NL- EN- FI- FR- DE- EL- HE- HU- ID- IT- JA- KO- MS- NB- PL- PT- RO- RU- ZH- SK- ES- SV- TH- ZH- TR- VI,30,1,10841088,11,Games, Strategy, Simulation,NA,09/04/2016,30/11/2019,44
568758251,BattleParis,1,,0,0,0,0,4,EN- FR,2,1,41425920,41,Games, Board, Strategy, Travel,22/07/2018,30/11/2019,17
577764411,HedgeHogers,1,We Love Hedge,3,0,0,0.99,4,EN,1,1,183092224,183,Games, Strategy, Family, Entertainment,21/10/2017,30/11/2019,26
584927317,Warbits,1,,0,4.5,1292,4.99,9,EN,1,1,185147392,185,Games, Strategy, Adventure,NA,19/04/2017,30/11/2019,32
594730590,Asteroid Impact,2,,0,0,0,0,9,EN,1,1,42304512,42,Games, Strategy, Casual,NA,29/07/2018,30/11/2019,16
602032189,Mars Miner 2,3,,0,4.5,112,0,4,EN,1,1,99334144,99,Games, Adventure, Entertainment, Strategy,22/10/2018,30/11/2019,13
615042379,Task Force War,3,,0,0,0,3.99,4,EN,1,1,186683392,187,Games, Strategy,NA,NA,23/11/2016,30/11/2019,37
620455910,WESTERN GAME,2,,0,4,29,0,17,EN,1,1,135990272,136,Games, Strategy, Simulation,NA,06/04/2018,30/11/2019,20
624499225,TV Magnate,2,,0,0,0,0,4,EN- JA- ZH- ZH,4,1,76526592,77,Games, Simulation, Strategy,NA,12/03/2019,30/11/2019,9
624499225,TV Magnate,2,,0,0,0,0,4,EN- JA- ZH- ZH,4,1,76526592,77,Games, Simulation, Strategy,NA,12/03/2019,30/11/2019,9
642455094,Mega Tank,2,,0,4.5,47,0,9,EN,1,1,170715136,171,Games, Action, Entertainment, Strategy,04/01/2017,30/11/2019,35
657395017,Forbidden Desert,2,A cooperative adventure,3,5,308,6.99,9,EN,1,1,195714048,196,Games, Board, Strategy,NA,21/11/2017,30/11/2019,25
685239125,Departed,1,,0,0,0,0,4,AR- CA- CS- DA- NL- EN- FI- FR- DE- EL- HE- HU- ID- IT- JA- KO- MS- NB- PL- PT- RO- RU- ZH- SK- ES- SV- TH- ZH- TR- UK- VI,31,1,80292864,80,Games, Strategy, Puzzle, Entertainment,05/12/2016,30/11/2019,36
690260486,Lightwire,1,,0,4.5,11,0,4,EN,1,1,530573312,531,Games, Education, Strategy, Puzzle,18/09/2017,30/11/2019,27
695198278,Tower Crush Strategy War Game,5,Combat- Fight and Duel Online,5,4.5,276,0,4,EN,1,1,85621760,86,Games, Entertainment, Strategy, Action,26/03/2019,30/11/2019,8
695948278,War Commander Rogue Assault,4,,0,4.5,13452,0,12,AR- MY- KM- ZH- DA- NL- EN- ET- FI- FR- DE- HE- HI- ID- IT- JA- KO- LO- MS- NB- PL- PT- RU- ZH- ES- SV- TH- ZH- TR- VI,30,1,217124864,217,Games, Strategy, Action,NA,18/07/2019,30/11/2019,5
712625826,Stronghold2D,1,,0,3,9,0,9,EN,1,1,290205696,290,Games, Casual, Strategy, Entertainment,08/08/2017,30/11/2019,28
719466448,Battle for Candora,3,,0,5,8,0,9,EN,1,1,154114048,154,Games, Strategy, Role Playing, Entertainment,15/02/2017,30/11/2019,34
720187787,Gates of War,3,,0,4.5,93,0,12,EN,1,1,628196352,628,Games, Action, Strategy,NA,10/02/2017,30/11/2019,34
